"No","契約方式","案件番号","案件名称","発注所属","公開日","開札予定日時"
"1","一般競争入札（条件付き）/最低価格","20160030216","風向風速計","総務事務集中課","平成28年10月25日","平成28年11月 9日 10:00"
"2","一般競争入札（条件付き）/最低価格","20160030219","オゾン自動測定記録計","総務事務集中課","平成28年10月25日","平成28年11月 9日 10:30"
"3","一般競争入札（条件付き）/最低価格","20160030081","和歌山県消防学校厨房設備機器","総務事務集中課","平成28年10月19日","平成28年11月 2日 10:00"
"4","一般競争入札（条件付き）/最低価格","20160030265","コンピューター","総務事務集中課","平成28年10月19日","平成28年11月 2日 10:30"
"5","一般競争入札(WTO)/最低価格","20160030047","和歌山県民文化会館大ホール舞台吊物機構更新備品","総務事務集中課","平成28年10月18日","平成28年11月17日 10:00"
"6","一般競争入札（条件付き）/最低価格","20160029946","県土整備総務課　ステーションワゴン　１５００ｃｃクラス　４ＷＤ","総務事務集中課","平成28年10月14日","平成28年10月28日 10:00"
"7","一般競争入札（条件付き）/最低価格","20160029948","物品棚・書架","総務事務集中課","平成28年10月14日","平成28年10月28日 13:30"
"8","一般競争入札（条件付き）/最低価格","20160030029","県土整備総務課　貨物自動車（ライトバン）　１０００ｃｃクラス〜１５００ｃｃクラス　２ＷＤ","総務事務集中課","平成28年10月14日","平成28年10月28日 10:30"
"9","一般競争入札（条件付き）/最低価格","20160030030","県土整備総務課　軽乗用自動車（ミニバンタイプ）　６６０ｃｃ以下　４ＷＤ","総務事務集中課","平成28年10月14日","平成28年10月28日 11:00"
"10","一般競争入札（条件付き）/最低価格","20160030031","道路保全課　道路パトロールカー　４ＷＤ　５ドア","総務事務集中課","平成28年10月14日","平成28年10月28日 11:30"
"11","一般競争入札（条件付き）/最低価格","20160029965","船外機付き大型ゴムボート","総務事務集中課","平成28年10月12日","平成28年10月26日 10:00"
